"","beats","wind","vocal"
"Ahmed_Abdul-Malik",1,0,0
"Benny_Golson",0,3,0
"Joe_Henderson",0,1,0
"Arturo_Sandoval",0,3,0
"Joe_Morris_(trumpeter)",0,1,0
"Kenny_Garrett",0,1,0
"Frank_Lloyd_(horn_player)",0,1,0
"Esperanza_Spalding",1,1,4
"Art_Blakey",1,0,0
"Sting_(musician)",1,1,2
"Karriem_Riggins",2,0,3
"Charlie_Barnet",0,2,0
"Wayne_Shorter",0,2,0
"Shannon_Powell",1,0,0
"Mulgrew_Miller",1,3,1
"Frank_McComb",0,1,3
"Clifford_Brown",0,1,0
"Veronica_Swift",0,0,1
"Buster_Williams",1,1,2
"Elvin_Jones",2,1,0
"Maynard_Ferguson",0,3,0
"Lionel_Hampton",1,1,0
"Count_Basie",0,5,2
"Lenny_Kravitz",0,0,4
"Victor_Goines",0,1,0
"Eric_Clapton",2,1,3
"Dianne_Reeves",0,0,2
"Terri_Lyne_Carrington",1,1,1
"Alexa_Tarantino",0,3,0
"Charlie_Haden",1,2,1
"Larry_Willis",1,3,1
"Gary_Numan",0,1,5
"Lee_Morgan",1,3,0
"Kevin_Eubanks",0,1,1
"Horace_Silver",2,4,0
"The_Clayton_Brothers",2,3,0
"Gary_Moore",1,0,4
"Buddy_Guy",0,0,2
"Jackson_Browne",0,0,2
"Willie_Nelson",1,0,2
"Ray_Charles",0,2,2
"Randy_Sandke",0,1,2
"Ray_Mantilla",2,0,0
"Rodney_Whitaker",1,0,1
"Jack_DeJohnette",1,2,0
"Duke_Ellington",1,4,0
"Winard_Harper",1,0,0
"Charles_Mingus",1,2,0
"Kenny_Kirkland",1,1,0
"Terence_Blanchard",0,2,0
"Paul_Bley",0,1,0
"Jann_Arden",0,0,4
"Richard_Johnson_(pianist)",0,2,0
"Flora_Purim",0,0,2
"James_Morrison_(jazz_musician)",1,5,1
"Keb'_Mo'",2,0,4
"Mousey_Alexander",1,0,0
"Benny_Green_(pianist)",0,1,0
"Natalie_Cressman",0,1,1
"Al_Foster",1,1,0
"Tony_Williams_(drummer)",1,1,0
"Reggie_Workman",1,0,0
"Betty_Carter",0,0,2
"Saskia_Laroo",1,3,0
"Eric_Revis",1,1,1
"Oliver_Jones_(pianist)",0,2,0
"Dee_Dee_Bridgewater",1,0,2
"Robert_M._Rucker",1,1,0
"Nine_Inch_Nails",0,0,3
"Germaine_Bazzle",0,0,1
"Bo_Stief",1,1,0
"Doug_Watkins",1,0,0
"Jeff_Beck",0,0,1
"Jackie_McLean",0,2,0
"Bob_Cranshaw",1,0,0
"Woody_Herman",0,1,1
"Donald_Byrd",0,2,1
"Harry_Sokal_(musician)",0,1,0
"McCoy_Tyner",0,2,0
"Candy_Dulfer",0,1,0
"Andreas_Varady",0,0,1
"Freddie_Hubbard",0,2,0
"Randy_Gelispie",2,0,0
"Peter_Bernstein_(guitarist)",0,0,1
"Quincy_Jones",0,1,2
"Dwayne_Dolphin",1,0,1
"Igor_Butman",0,2,0
"Don_Friedman",0,1,0
"Joshua_Redman",0,2,0
"Roy_Hargrove",0,3,1
"Paul_Young",1,0,4
"Richard_Davis_(bassist)",1,0,0
"Orrin_Keepnews",0,0,1
"Dizzy_Gillespie",0,4,2
"Eddie_Harris",0,2,0
"Kenny_Dorham",0,2,2
"Oscar_Peterson",0,2,0
"B.B._King",0,0,5
"Ben_Wolfe",1,0,0
"Chick_Corea",3,2,0
"Don_Pullen",0,1,0
"Bonnie_Raitt",0,2,4
"Bobby_Watson",0,2,0
"Ed_Cherney",0,0,1
"Solomon_Ilori",2,0,1
"Darren_Barrett",0,2,0
"Hank_Mobley",0,2,0
"Percy_Heath",2,1,0
"Lewis_Nash",1,0,0
"Oliver_Nelson",0,2,0
"Richard_Ashcroft",2,1,4
"Blue_Mitchell",0,2,0
"Joey_Calderazzo",0,1,0
"Dayna_Stephens",2,3,1
"Grover_Washington_Jr.",0,2,2
"Willie_Jones_III",1,0,0
"Anton_Kwiatkowski",0,0,1
"Wycliffe_Gordon",0,4,0
"John_Mayer_Trio",2,0,3
"Vincent_Herring",0,3,0
"Camille_Thurman",0,3,1
"Roman_Miroshnichenko",0,1,2
"Aaron_Goldberg",0,1,0
"John_Mayer",0,0,4
"Vanessa_Rubin",0,0,1
"Nat_Adderley",0,2,1
"Dr._John",0,0,3
"Paul_Chambers",1,2,0
"Stevie_Wonder",0,0,3
"Billy_Taylor",1,2,0
"Tommy_Campbell_(musician)",1,0,0
"Clark_Terry",0,3,1
"Wessell_Anderson",1,1,0
"George_Mraz",1,1,0
"Rickey_Minor",1,1,1
"Andrew_Hill_(jazz_musician)",0,2,0
"Robert_Stewart_(saxophonist)",0,2,0
"Art_Pepper",0,1,0
"Carla_Bley",0,2,0
"Donald_Brown_(musician)",1,2,1
"Reuben_Rogers",1,0,1
"Yusef_Lateef",1,4,0
"Eric_Lewis_(pianist)",0,1,2
"Wallace_Roney",0,1,0
"Herbie_Hancock",2,3,1
"John_Scofield",0,1,1
"Johnny_Griffin",1,2,0
"Branford_Marsalis",0,2,0
"Bobby_Timmons",0,2,0
"Don_Henley",1,0,5
"Magos_Herrera",1,2,4
"Billy_Higgins",1,0,0
"Bob_Dylan",0,0,2
"Sean_Jones_(trumpeter)",0,3,0
"Bee_Gees",0,0,2
"Jason_Marsalis",1,0,0
"Bill_Graham_(musician)",0,1,0
"Raphael_Saadiq",1,0,5
"Justin_Kauflin",0,2,1
"J._J._Johnson",0,2,0
"Keith_Jarrett",0,2,0
"Bill_Dowdy",1,1,0
"Philip_Harper_(trumpeter)",1,3,0
"Ron_Carter",1,0,1
"Ben_Wendel",1,2,0
"Curtis_Fuller",0,1,0
"Bob_Brookmeyer",0,3,0
"Erica_von_Kleist",0,3,0
"Johnny_Helms",0,1,0
"Hugh_Masekela",0,3,1
"Paul_Murphy_(musician)",1,2,0
"Marcus_Strickland",1,2,0
"Stanley_Turrentine",0,2,0
"Radovan_Tariska",0,1,0
"Booker_Little",0,2,0
"Mary_J._Blige",0,0,2
"Thelonious_Monk",0,2,0
"Wynton_Marsalis",0,2,0
"Roger_Ingram",0,3,0
"John_Gilmore_(musician)",4,1,0
"Hans_Dulfer",0,1,0
"Iggy_Pop",0,0,3
"Charles_Williams_(musician)",0,1,0
"Javon_Jackson",0,1,1
"Zach_Brock",0,1,0
"Marcus_Roberts",0,2,0
"Miles_Davis",3,5,1
"Milt_Hinton",1,0,0
"Pino_Palladino",1,0,3
"Kurt_Rosenwinkel",0,0,1
"Ambrose_Akinmusire",0,2,0
"Darcy_James_Argue",0,2,0
"Arturo_O'Farrill",0,2,0
"Ximo_Tebar",0,0,1
"Maurice_Hines",0,0,1
"Cedar_Walton",1,2,0
"The_Rolling_Stones",2,0,2
"Jean_Toussaint",0,1,0
"Robert_Hurst_(musician)",1,0,1
"Pharoah_Sanders",0,1,0
"Woody_Shaw",0,3,0
"Ali_Jackson_(jazz_drummer)",3,3,0
"Lalo_Schifrin",0,2,0
"Joe_Temperley",1,1,0
"Mark_Turner_(musician)",0,1,0
"Sherrie_Maricle",1,1,0
"Sullivan_Fortner",0,2,0
"Yacub_Addy",2,1,0
"Charles_Lloyd_(jazz_musician)",2,3,0
"Chalmers_Alford",0,0,1
"Thomas_Clausen_(musician)",0,2,0
"The_Soultronics",3,1,0
"Toots_Thielemans",0,0,1
"Fred_Wesley",0,1,0
"SFJAZZ_Collective",0,1,0
"Herlin_Riley",1,1,0
"Gerald_Clayton",0,2,0
"Jacky_Terrasson",0,2,0
"Cameron_Brown_(musician)",1,0,0
"Roger_Humphries",1,0,0
"Harry_Connick_Jr.",0,2,1
"Milt_Jackson",0,1,0
"Ellis_Marsalis_Jr.",0,1,0
"Damion_Reid",1,0,0
"Ali_Shaheed_Muhammad",2,0,2
"Grant_Green",1,2,1
"D'Angelo",2,1,5
"Bud_Powell",0,2,0
"Joss_Stone",0,0,2
