"","year"
"Ahmed_Abdul_Malik",
"Benny_Golson",
"Joe_Henderson",1950
"Arturo_Sandoval",1970
"Joe_Morris_(trumpeter)",1940
"Kenny_Garrett",1970
"Frank_Lloyd_(horn_player)",
"Esperanza_Spalding",2000
"Art_Blakey",1940
"Sting_(musician)",1970
"Karriem_Riggins",1990
"Charlie_Barnet",1930
"Wayne_Shorter",1950
"Shannon_Powell",1970
"Mulgrew_Miller",1970
"Frank_McComb",1990
"Clifford_Brown",1940
"Veronica_Swift",2000
"Buster_Williams",1950
"Elvin_Jones",1940
"Maynard_Ferguson",1930
"Lionel_Hampton",1920
"Count_Basie",1920
"Lenny_Kravitz",1980
"Victor_Goines",1980
"Eric_Clapton",1960
"Dianne_Reeves",1970
"Terri_Lyne_Carrington",1980
"Alexa_Tarantino",
"Charlie_Haden",1950
"Larry_Willis",1960
"Gary_Numan",1970
"Lee_Morgan",1950
"Kevin_Eubanks",1980
"Horace_Silver",1940
"The_Clayton_Brothers",
"Gary_Moore",1960
"Buddy_Guy",1950
"Jackson_Browne",1960
"Willie_Nelson",1950
"Ray_Charles",1940
"Randy_Sandke",1960
"Ray_Mantilla",1950
"Rodney_Whitaker",
"Jack_DeJohnette",1960
"Duke_Ellington",1910
"Winard_Harper",1980
"Charles_Mingus",1940
"Kenny_Kirkland",1970
"Terence_Blanchard",1980
"Paul_Bley",
"Jann_Arden",1990
"Richard_Johnson_(pianist)",1990
"Flora_Purim",1960
"James_Morrison_(jazz_musician)",1980
"Keb'_Mo'",1970
"Mousey_Alexander",1980
"Benny_Green_(pianist)",
"Natalie_Cressman",2010
"Al_Foster",1960
"Tony_Williams_(drummer)",1960
"Reggie_Workman",
"Betty_Carter",1940
"Saskia_Laroo",
"Eric_Revis",1990
"Oliver_Jones_(pianist)",1940
"Dee_Dee_Bridgewater",1960
"Robert_M._Rucker",1990
"Nine_Inch_Nails",1980
"Germaine_Bazzle",
"Bo_Stief",
"Doug_Watkins",1950
"Jeff_Beck",1960
"Jackie_McLean",1950
"Bob_Cranshaw",
"Woody_Herman",
"Donald_Byrd",1950
"Harry_Sokal_(musician)",1970
"McCoy_Tyner",1960
"Candy_Dulfer",1980
"Andreas_Varady",2010
"Freddie_Hubbard",1950
"Randy_Gelispie",
"Peter_Bernstein_(guitarist)",1990
"Quincy_Jones",1950
"Dwayne_Dolphin",
"Igor_Butman",1970
"Don_Friedman",
"Joshua_Redman",
"Roy_Hargrove",1980
"Paul_Young",1970
"Richard_Davis_(bassist)",1940
"Orrin_Keepnews",1950
"Dizzy_Gillespie",1930
"Eddie_Harris",
"Kenny_Dorham",
"Oscar_Peterson",1940
"B.B._King",1940
"Ben_Wolfe",1970
"Chick_Corea",1960
"Don_Pullen",1960
"Bonnie_Raitt",1970
"Bobby_Watson",1970
"Ed_Cherney",
"Solomon_Ilori",1950
"Darren_Barrett",1990
"Hank_Mobley",1940
"Percy_Heath",
"Lewis_Nash",1980
"Oliver_Nelson",
"Richard_Ashcroft",1990
"Blue_Mitchell",1950
"Joey_Calderazzo",1970
"Dayna_Stephens",2000
"Grover_Washington_Jr.",1960
"Willie_Jones_III",1990
"Anton_Kwiatkowski",1960
"Wycliffe_Gordon",
"John_Mayer_Trio",2000
"Vincent_Herring",1980
"Camille_Thurman",2000
"Roman_Miroshnichenko",1990
"Aaron_Goldberg",1990
"John_Mayer",1990
"Vanessa_Rubin",1980
"Nat_Adderley",
"Dr._John",1950
"Paul_Chambers",1950
"Stevie_Wonder",1960
"Billy_Taylor",1940
"Tommy_Campbell_(musician)",
"Clark_Terry",1940
"Wessell_Anderson",1980
"George_Mraz",
"Rickey_Minor",1980
"Andrew_Hill_(jazz_musician)",1950
"Robert_Stewart_(saxophonist)",1980
"Art_Pepper",1940
"Carla_Bley",1960
"Donald_Brown_(musician)",1970
"Reuben_Rogers",1990
"Yusef_Lateef",1950
"Eric_Lewis_(pianist)",1990
"Wallace_Roney",1970
"Herbie_Hancock",1960
"John_Scofield",1970
"Johnny_Griffin",1940
"Branford_Marsalis",1980
"Bobby_Timmons",1970
"Don_Henley",1970
"Magos_Herrera",1990
"Billy_Higgins",
"Bob_Dylan",1960
"Sean_Jones_(trumpeter)",2000
"Bee_Gees",1950
"Jason_Marsalis",
"Bill_Graham_(musician)",1960
"Raphael_Saadiq",1980
"Justin_Kauflin",2000
"J._J._Johnson",1940
"Keith_Jarrett",1960
"Bill_Dowdy",1970
"Philip_Harper_(trumpeter)",1990
"Ron_Carter",1960
"Ben_Wendel",
"Curtis_Fuller",1950
"Bob_Brookmeyer",
"Erica_von_Kleist",
"Johnny_Helms",2000
"Hugh_Masekela",1950
"Paul_Murphy_(musician)",
"Marcus_Strickland",1990
"Stanley_Turrentine",1950
"Radovan_Tariska",
"Booker_Little",1950
"Mary_J._Blige",1980
"Thelonious_Monk",1940
"Wynton_Marsalis",1980
"Roger_Ingram",1970
"John_Gilmore_(musician)",1950
"Hans_Dulfer",1950
"Iggy_Pop",1960
"Charles_Williams_(musician)",1970
"Javon_Jackson",
"Zach_Brock",
"Marcus_Roberts",1980
"Miles_Davis",1940
"Milt_Hinton",1990
"Pino_Palladino",1970
"Kurt_Rosenwinkel",1990
"Ambrose_Akinmusire",2000
"Darcy_James_Argue",2000
"Arturo_O'Farrill",1970
"Ximo_Tebar",
"Maurice_Hines",1950
"Cedar_Walton",
"The_Rolling_Stones",1960
"Jean_Toussaint",1980
"Robert_Hurst_(musician)",1980
"Pharoah_Sanders",1960
"Woody_Shaw",1960
"Ali_Jackson_(jazz_drummer)",
"Lalo_Schifrin",1950
"Joe_Temperley",1950
"Mark_Turner_(musician)",1990
"Sherrie_Maricle",
"Sullivan_Fortner",2000
"Yacub_Addy",1950
"Charles_Lloyd_(jazz_musician)",1950
"Chalmers_Alford",1960
"Thomas_Clausen_(musician)",
"The_Soultronics",2000
"Toots_Thielemans",1940
"Fred_Wesley",1960
"SFJAZZ_Collective",
"Herlin_Riley",1980
"Gerald_Clayton",
"Jacky_Terrasson",1990
"Cameron_Brown_(musician)",
"Roger_Humphries",
"Harry_Connick_Jr.",1970
"Milt_Jackson",
"Ellis_Marsalis_Jr.",1940
"Damion_Reid",
"Ali_Shaheed_Muhammad",1980
"Grant_Green",1950
"D'Angelo",1990
"Bud_Powell",1940
"Joss_Stone",2000
